Date,Open,High,Low,Close,Adj Close,Volume
2022-06-13,6346.000000,6350.000000,6295.000000,6323.000000,6323.000000,17820
2022-06-14,6133.000000,6175.000000,6120.000000,6165.000000,6165.000000,12430
2022-06-15,6133.000000,6157.000000,6118.000000,6135.000000,6135.000000,5470
2022-06-16,6169.000000,6181.000000,6159.000000,6159.000000,6159.000000,2630
2022-06-17,6152.000000,6215.000000,6131.000000,6212.000000,6212.000000,15660
2022-06-20,6245.000000,6248.000000,6206.000000,6231.000000,6231.000000,7010
2022-06-21,6222.000000,6236.000000,6205.000000,6205.000000,6205.000000,2370
2022-06-22,6251.000000,6257.000000,6225.000000,6228.000000,6228.000000,5770
2022-06-23,6253.000000,6268.000000,6211.000000,6226.000000,6226.000000,2490
2022-06-24,6161.000000,6184.000000,6152.000000,6160.000000,6160.000000,3410
2022-06-27,6196.000000,6204.000000,6173.000000,6200.000000,6200.000000,4130
2022-06-28,6193.000000,6198.000000,6182.000000,6195.000000,6195.000000,2880
2022-06-29,6196.000000,6214.000000,6195.000000,6203.000000,6203.000000,2570
2022-06-30,6230.000000,6238.000000,6204.000000,6209.000000,6209.000000,1000
2022-07-01,6151.000000,6157.000000,6066.000000,6069.000000,6069.000000,13850
2022-07-04,6125.000000,6155.000000,6113.000000,6141.000000,6141.000000,11730
2022-07-05,6154.000000,6195.000000,6148.000000,6186.000000,6186.000000,4290
2022-07-06,5990.000000,6022.000000,5959.000000,5977.000000,5977.000000,17050
2022-07-07,5914.000000,5927.000000,5880.000000,5927.000000,5927.000000,31600
2022-07-08,5920.000000,5927.000000,5896.000000,5918.000000,5918.000000,5910
2022-07-11,5931.000000,5977.000000,5925.000000,5969.000000,5969.000000,1790
2022-07-12,5961.000000,5970.000000,5918.000000,5955.000000,5955.000000,8920
2022-07-13,5916.000000,5942.000000,5903.000000,5927.000000,5927.000000,2540
2022-07-14,5960.000000,5980.000000,5954.000000,5980.000000,5980.000000,2400
2022-07-15,5961.000000,5961.000000,5934.000000,5936.000000,5936.000000,3180
2022-07-19,5920.000000,5923.000000,5898.000000,5903.000000,5903.000000,5240
2022-07-20,5926.000000,5926.000000,5891.000000,5910.000000,5910.000000,9420
2022-07-21,5879.000000,5880.000000,5821.000000,5846.000000,5846.000000,104970
2022-07-22,5889.000000,5920.000000,5885.000000,5917.000000,5917.000000,6640
2022-07-25,5880.000000,5896.000000,5870.000000,5892.000000,5892.000000,2410
2022-07-26,5876.000000,5896.000000,5868.000000,5894.000000,5894.000000,3140
2022-07-27,5894.000000,5894.000000,5877.000000,5892.000000,5892.000000,2200
2022-07-28,5930.000000,5935.000000,5885.000000,5897.000000,5897.000000,11290
2022-07-29,5913.000000,5928.000000,5868.000000,5880.000000,5880.000000,8770
2022-08-01,5893.000000,5893.000000,5835.000000,5843.000000,5843.000000,6540
2022-08-02,5848.000000,5850.000000,5806.000000,5808.000000,5808.000000,86130
2022-08-03,5863.000000,5908.000000,5862.000000,5896.000000,5896.000000,5710
2022-08-04,5909.000000,5960.000000,5908.000000,5960.000000,5960.000000,4140
2022-08-05,5965.000000,6100.000000,5955.000000,5990.000000,5990.000000,82440
2022-08-08,6000.000000,6020.000000,5999.000000,6013.000000,6013.000000,4610
2022-08-09,6040.000000,6049.000000,6017.000000,6045.000000,6045.000000,10170
2022-08-10,6074.000000,6076.000000,6047.000000,6050.000000,6050.000000,4580
2022-08-12,5969.000000,5986.000000,5956.000000,5975.000000,5975.000000,4560
2022-08-15,6005.000000,6015.000000,5983.000000,5983.000000,5983.000000,4520
2022-08-16,5940.000000,5955.000000,5924.000000,5943.000000,5943.000000,11950
2022-08-17,5966.000000,5987.000000,5951.000000,5984.000000,5984.000000,3370
2022-08-18,5968.000000,5969.000000,5952.000000,5964.000000,5964.000000,3590
2022-08-19,5973.000000,5995.000000,5973.000000,5985.000000,5985.000000,4210
2022-08-22,5984.000000,6008.000000,5984.000000,5991.000000,5991.000000,4500
2022-08-23,5982.000000,5993.000000,5962.000000,5963.000000,5963.000000,4090
2022-08-24,5985.000000,5989.000000,5968.000000,5977.000000,5977.000000,1790
2022-08-25,6006.000000,6011.000000,6006.000000,6007.000000,6007.000000,1160
2022-08-26,6012.000000,6012.000000,6001.000000,6010.000000,6010.000000,3230
2022-08-29,6001.000000,6008.000000,5978.000000,5979.000000,5979.000000,2200
2022-08-30,6030.000000,6045.000000,6010.000000,6013.000000,6013.000000,5080
2022-08-31,5988.000000,5999.000000,5967.000000,5977.000000,5977.000000,3800
2022-09-01,5962.000000,5962.000000,5937.000000,5946.000000,5946.000000,2260
2022-09-02,5950.000000,5970.000000,5939.000000,5968.000000,5968.000000,4020
2022-09-05,5999.000000,6017.000000,5993.000000,6009.000000,6009.000000,2940
2022-09-06,6015.000000,6063.000000,6011.000000,6054.000000,6054.000000,5200
2022-09-07,6095.000000,6111.000000,6063.000000,6111.000000,6111.000000,5970
2022-09-08,6180.000000,6200.000000,6164.000000,6168.000000,6168.000000,8010
2022-09-09,6151.000000,6167.000000,6132.000000,6141.000000,6141.000000,5810
2022-09-12,6124.000000,6140.000000,6118.000000,6131.000000,6131.000000,3320
2022-09-13,6150.000000,6168.000000,6126.000000,6126.000000,6126.000000,4920
2022-09-14,6143.000000,6156.000000,6115.000000,6115.000000,6115.000000,2230
2022-09-15,6068.000000,6073.000000,6050.000000,6053.000000,6053.000000,2890
2022-09-16,5961.000000,5966.000000,5950.000000,5959.000000,5959.000000,5590
2022-09-20,5995.000000,6003.000000,5974.000000,5974.000000,5974.000000,3130
2022-09-21,5974.000000,5994.000000,5967.000000,5989.000000,5989.000000,1840
2022-09-22,6007.000000,6019.000000,5980.000000,6014.000000,6014.000000,2780
2022-09-26,5888.000000,5905.000000,5850.000000,5873.000000,5873.000000,11170
2022-09-27,5870.000000,5900.000000,5868.000000,5900.000000,5900.000000,3710
2022-09-28,5896.000000,5896.000000,5848.000000,5859.000000,5859.000000,4740
2022-09-29,5975.000000,5980.000000,5947.000000,5947.000000,5947.000000,5160
2022-09-30,6003.000000,6020.000000,6001.000000,6016.000000,6016.000000,6670
2022-10-03,6030.000000,6040.000000,6019.000000,6028.000000,6028.000000,2030
2022-10-04,6150.000000,6175.000000,6135.000000,6164.000000,6164.000000,8390
2022-10-05,6202.000000,6212.000000,6190.000000,6192.000000,6192.000000,6640
2022-10-06,6214.000000,6231.000000,6202.000000,6229.000000,6229.000000,5880
2022-10-07,6211.000000,6215.000000,6195.000000,6203.000000,6203.000000,5900
2022-10-11,6075.000000,6100.000000,6057.000000,6060.000000,6060.000000,6790
